Empresa;Departamento;Municipio;Número único de identificación del sistema de tratamiento (NUPTAR);Caudal medio anual a la entrada (L/S);Caudal medio anual a la salida (LTS/SG);pH Unidades;Temperatura (°C);Sóidos Totales (mg/litro);DBO (Kg/Día);DQO (Kg/Día;Fecha de cargue;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;MOMIL;7060;21.93;12.225;7.84;28.525;65.4;61.93;136.07;7-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;MOMIL;7061;42.625;56.185;7.455;30.125;117.75;109.86;167.3;10-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;MOMIL;7062;15.93;10.625;7.73;30.875;93.5;74.35;140;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;MOMIL;7063;107.78;75.795;7.57;30.95;65.4;51;78.695;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;MOMIL;7064;7.71;5.725;8.665;31.825;80.65;78.4;151;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;MOMIL;7065;0.38;0;0;0;0;0;0;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;MOMIL;7066;7.55;5.275;7.96;30.1;58.9;88.95;183.5;14-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;MOMIL;7067;20.905;9.945;8.25;28.8;10.965;12.48;24.345;22-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;MOMIL;7068;11.81;13.99;8.175;30.85;75;71.45;129.5;14-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;MOMIL;7069;9.855;4.65;7.975;30.2;30.4;66.65;125.5;25-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;PLANETA RICA;7059;81.81;71.59;8.11;32.025;67.9;84.15;145.5;7-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;PLANETA RICA;7060;21.93;12.225;7.84;28.525;65.4;61.93;136.07;7-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;PLANETA RICA;7061;42.625;56.185;7.455;30.125;117.75;109.86;167.3;10-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;PLANETA RICA;7062;15.93;10.625;7.73;30.875;93.5;74.35;140;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;PLANETA RICA;7063;107.78;75.795;7.57;30.95;65.4;51;78.695;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;PLANETA RICA;7064;7.71;5.725;8.665;31.825;80.65;78.4;151;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;PLANETA RICA;7065;0.38;0;0;0;0;0;0;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;PLANETA RICA;7066;7.55;5.275;7.96;30.1;58.9;88.95;183.5;14-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;PLANETA RICA;7067;20.905;9.945;8.25;28.8;10.965;12.48;24.345;22-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;PLANETA RICA;7068;11.81;13.99;8.175;30.85;75;71.45;129.5;14-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;PLANETA RICA;7069;9.855;4.65;7.975;30.2;30.4;66.65;125.5;25-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;PURISIMA;7059;81.81;71.59;8.11;32.025;67.9;84.15;145.5;7-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;PURISIMA;7060;21.93;12.225;7.84;28.525;65.4;61.93;136.07;7-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;PURISIMA;7061;42.625;56.185;7.455;30.125;117.75;109.86;167.3;10-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;PURISIMA;7062;15.93;10.625;7.73;30.875;93.5;74.35;140;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;PURISIMA;7063;107.78;75.795;7.57;30.95;65.4;51;78.695;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;PURISIMA;7064;7.71;5.725;8.665;31.825;80.65;78.4;151;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;PURISIMA;7065;0.38;0;0;0;0;0;0;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;PURISIMA;7066;7.55;5.275;7.96;30.1;58.9;88.95;183.5;14-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;PURISIMA;7067;20.905;9.945;8.25;28.8;10.965;12.48;24.345;22-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;PURISIMA;7068;11.81;13.99;8.175;30.85;75;71.45;129.5;14-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;PURISIMA;7069;9.855;4.65;7.975;30.2;30.4;66.65;125.5;25-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAHAGUN;7059;81.81;71.59;8.11;32.025;67.9;84.15;145.5;7-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAHAGUN;7060;21.93;12.225;7.84;28.525;65.4;61.93;136.07;7-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAHAGUN;7061;42.625;56.185;7.455;30.125;117.75;109.86;167.3;10-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAHAGUN;7062;15.93;10.625;7.73;30.875;93.5;74.35;140;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAHAGUN;7063;107.78;75.795;7.57;30.95;65.4;51;78.695;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAHAGUN;7064;7.71;5.725;8.665;31.825;80.65;78.4;151;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAHAGUN;7065;0.38;0;0;0;0;0;0;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAHAGUN;7066;7.55;5.275;7.96;30.1;58.9;88.95;183.5;14-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAHAGUN;7067;20.905;9.945;8.25;28.8;10.965;12.48;24.345;22-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAHAGUN;7068;11.81;13.99;8.175;30.85;75;71.45;129.5;14-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAHAGUN;7069;9.855;4.65;7.975;30.2;30.4;66.65;125.5;25-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAN ANDRES SOTAVENTO;7059;81.81;71.59;8.11;32.025;67.9;84.15;145.5;7-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAN ANDRES SOTAVENTO;7060;21.93;12.225;7.84;28.525;65.4;61.93;136.07;7-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAN ANDRES SOTAVENTO;7061;42.625;56.185;7.455;30.125;117.75;109.86;167.3;10-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAN ANDRES SOTAVENTO;7062;15.93;10.625;7.73;30.875;93.5;74.35;140;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAN ANDRES SOTAVENTO;7063;107.78;75.795;7.57;30.95;65.4;51;78.695;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAN ANDRES SOTAVENTO;7064;7.71;5.725;8.665;31.825;80.65;78.4;151;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAN ANDRES SOTAVENTO;7065;0.38;0;0;0;0;0;0;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAN ANDRES SOTAVENTO;7066;7.55;5.275;7.96;30.1;58.9;88.95;183.5;14-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAN ANDRES SOTAVENTO;7067;20.905;9.945;8.25;28.8;10.965;12.48;24.345;22-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAN ANDRES SOTAVENTO;7068;11.81;13.99;8.175;30.85;75;71.45;129.5;14-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAN ANDRES SOTAVENTO;7069;9.855;4.65;7.975;30.2;30.4;66.65;125.5;25-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAN ANTERO;7059;81.81;71.59;8.11;32.025;67.9;84.15;145.5;7-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAN ANTERO;7060;21.93;12.225;7.84;28.525;65.4;61.93;136.07;7-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAN ANTERO;7061;42.625;56.185;7.455;30.125;117.75;109.86;167.3;10-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAN ANTERO;7062;15.93;10.625;7.73;30.875;93.5;74.35;140;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAN ANTERO;7063;107.78;75.795;7.57;30.95;65.4;51;78.695;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAN ANTERO;7064;7.71;5.725;8.665;31.825;80.65;78.4;151;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAN ANTERO;7065;0.38;0;0;0;0;0;0;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAN ANTERO;7066;7.55;5.275;7.96;30.1;58.9;88.95;183.5;14-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAN ANTERO;7067;20.905;9.945;8.25;28.8;10.965;12.48;24.345;22-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAN ANTERO;7068;11.81;13.99;8.175;30.85;75;71.45;129.5;14-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;SAN ANTERO;7069;9.855;4.65;7.975;30.2;30.4;66.65;125.5;25-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;TUCHÍN;7059;81.81;71.59;8.11;32.025;67.9;84.15;145.5;7-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;TUCHÍN;7060;21.93;12.225;7.84;28.525;65.4;61.93;136.07;7-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;TUCHÍN;7061;42.625;56.185;7.455;30.125;117.75;109.86;167.3;10-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;TUCHÍN;7062;15.93;10.625;7.73;30.875;93.5;74.35;140;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;TUCHÍN;7063;107.78;75.795;7.57;30.95;65.4;51;78.695;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;TUCHÍN;7064;7.71;5.725;8.665;31.825;80.65;78.4;151;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;TUCHÍN;7065;0.38;0;0;0;0;0;0;13-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;TUCHÍN;7066;7.55;5.275;7.96;30.1;58.9;88.95;183.5;14-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;TUCHÍN;7067;20.905;9.945;8.25;28.8;10.965;12.48;24.345;22-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;TUCHÍN;7068;11.81;13.99;8.175;30.85;75;71.45;129.5;14-mar-25;;
AQUALIA LATINOAMERICA S.A. E.S.P.;CORDOBA;TUCHÍN;7069;9.855;4.65;7.975;30.2;30.4;66.65;125.5;25-mar-25;;
AQUAMAG S.A.S E.S.P.;MAGDALENA;FUNDACION;7279;47.631;85.77;7.58;30.075;54;86.85;160.5;15-mar-25;;
AQUASERVICIOS S.A.  E.S.P.;VALLE;CANDELARIA;1201;134168;134168;7.12;28.4;29.76;88.405;103;16-mar-25;;
CENTROAGUAS S.A E.S.P;ATLANTICO;PONEDERA;2822;411.157;378.588;7.508;24.283;623.35;32.718;130.801;14-mar-25;;
CENTROAGUAS S.A E.S.P;VALLE;TULUA;2822;411.157;378.588;7.508;24.283;623.35;32.718;130.801;14-mar-25;;
COJARDIN SA ESP;CUNDINAMARCA;COTA;6999;2.21;1.619;6.883;18.45;30.043;31.85;57.35;4-mar-25;;
COJARDIN SA ESP;CUNDINAMARCA;COTA;7000;0.785;0.293;6.9;18.675;20.933;23.75;42.25;28-feb-25;;
COJARDIN SA ESP;CUNDINAMARCA;COTA;7001;1.948;3.643;7.132;19.433;53.284;30.75;52.2;4-mar-25;;
COJARDIN SA ESP;D.C.;BOGOTA;6999;2.21;1.619;6.883;18.45;30.043;31.85;57.35;4-mar-25;;
COJARDIN SA ESP;D.C.;BOGOTA;7000;0.785;0.293;6.9;18.675;20.933;23.75;42.25;28-feb-25;;
COJARDIN SA ESP;D.C.;BOGOTA;7001;1.948;3.643;7.132;19.433;53.284;30.75;52.2;4-mar-25;;
COMPAÑIA DE SERVICIOS BASICOS DE COLOMBIA S.A. E.S.P.;VALLE;PALMIRA;5345;20.06;20.06;7.245;26.5;81.5;56.5;115;4-feb-25;;
COOPERATIVA AGUAS DE URUMITA LTDA ESP;LA GUAJIRA;URUMITA;3362;0;0;0;0;0;0;0;11-APR-25;;
DIRECCIÓN DE SERVICIOS PÚBLICOS MUNICIPIO DE GUAYABETAL CUNDINAMARCA;CUNDINAMARCA;GUAYABETAL;2602;1.06;1.03;6;18;5;90;90;10-may-25;;
EMPRESA  DE SERVICIOS  PUBLICOS DE LA CALERA ;CUNDINAMARCA;LA CALERA;4185;38.05;94.067;7.163;17.9;54.85;69.417;177.467;18-sep-25;;
EMPRESA COMUNITARIA DE ACUEDUCTO; ALCANTARILLADO Y ASEO DE SARAVENA;ARAUCA;SARAVENA;2722;94.569;37.992;7;25;378;71.45;199.5;14-feb-25;
EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;CUNDINAMARCA;SOACHA;8279;5.167;5.248;7.494;18.462;301.917;15.25;71.667;12-mar-25;;
EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE BOGOTÁ E.S.P;D.C.;BOGOTA;8279;5.167;5.248;7.494;18.462;301.917;15.25;71.667;12-mar-25;;
EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE MOSQUERA;CUNDINAMARCA;MOSQUERA;6759;9.258;9.258;7.787;22.4;40.333;140.7;203.333;2-sep-25;;
EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE MOSQUERA;CUNDINAMARCA;MOSQUERA;7479;9.258;9.258;7.793;22.4;40.333;140.7;203.333;2-sep-25;;
EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE MOSQUERA;CUNDINAMARCA;MOSQUERA;7480;138.417;138.417;7.138;20.233;34.733;45.058;105.033;2-sep-25;;
EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE SANTA ANA E.S.P S.A;CUNDINAMARCA;SOACHA;2962;11.25;10.88;7.35;19;5;30;76;4-feb-25;;
EMPRESA DE ACUEDUCTO Y ALCANTARILLADO EL RINCON S A ;CUNDINAMARCA;SOACHA;8099;0;13.76;0;0;194.1;162.575;335.675;9-jul-25;;
EMPRESA DE ACUEDUCTO Y ALCANTARILLADO EL RINCON S A ;CUNDINAMARCA;SOACHA;8100;0;13.76;0;0;154.35;201.55;509.15;9-jul-25;;
EMPRESA DE ACUEDUCTO; ALCANTARILLADO Y ASEO DE CORINTO CAUCA;CAUCA;CORINTO;381;53.79;19.1;7.44;26.72;0.1;83;83;23-may-25;
EMPRESA DE ACUEDUCTO; ALCANTARILLADO Y ASEO DE MADRID E.S.P.;CUNDINAMARCA;MADRID;4705;123.2;123.2;7.165;21.333;21.917;23.217;89.192;30-JAN-25;
EMPRESA DE ACUEDUCTO; ALCANTARILLADO Y ASEO DE MADRID E.S.P.;CUNDINAMARCA;MADRID;7859;52;51.983;7.51;18.55;81;212.5;316.5;30-JAN-25;
EMPRESA DE ACUEDUCTO; ALCANTARILLADO Y ASEO DE MADRID E.S.P.;CUNDINAMARCA;MADRID;7860;14.383;14.383;7.465;20.4;175.5;332.5;543;30-JAN-25;
EMPRESA DE ACUEDUCTO; ALCANTARILLADO Y ASEO DE YOPAL  EICE - ESP;CASANARE;YOPAL;301;304.325;241.758;7.573;28.99;0;105.7;191.545;23-APR-25;
EMPRESA DE ACUEDUCTO; ALCANTARILLADO Y ASEO DEL ESPINAL E.S.P.;TOLIMA;ESPINAL;661;104.054;115.622;7.61;29.394;45.5;35.1;232;13-mar-25;
EMPRESA DE ACUEDUCTO; ALCANTARILLADO Y ASEO DEL MUNICIPIO DE LA JAGUA DE IBIRICO - CESAR S.A E.S.P;CESAR;LA JAGUA DE IBIRICO;5952;119.638;91.425;7.595;30.85;164;17.4;24.2;21-oct-25;
EMPRESA DE ACUEDUCTO; ALCANTARILLADO Y ASEO DEL ROSAL S.A E.S.P.;CUNDINAMARCA;EL ROSAL;3707;48.318;37.563;7.003;19.209;0;82.5;167.521;22-APR-25;
EMPRESA DE ACUEDUCTO;ALCANTARILLADO; ASEO Y ENERGÍA ELÉCTRICA SAS ESP;LA GUAJIRA;URIBIA;1642;16.6;0;0;0;77;69;189;5-feb-25
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;AGUADAS;1422;8.385;8.214;7.035;28.13;162.5;75.75;128.65;13-mar-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;AGUADAS;8559;4.863;4.662;7.249;29.272;25;52.5;99.6;3-sep-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;ANSERMA;1422;8.385;8.214;7.035;28.13;162.5;75.75;128.65;13-mar-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;ANSERMA;8559;4.863;4.662;7.249;29.272;25;52.5;99.6;3-sep-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;BELALCAZAR;1422;8.385;8.214;7.035;28.13;162.5;75.75;128.65;13-mar-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;BELALCAZAR;8559;4.863;4.662;7.249;29.272;25;52.5;99.6;3-sep-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;CHINCHINA;1422;8.385;8.214;7.035;28.13;162.5;75.75;128.65;13-mar-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;CHINCHINA;8559;4.863;4.662;7.249;29.272;25;52.5;99.6;3-sep-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;FILADELFIA;1422;8.385;8.214;7.035;28.13;162.5;75.75;128.65;13-mar-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;FILADELFIA;8559;4.863;4.662;7.249;29.272;25;52.5;99.6;3-sep-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;LA DORADA;1422;8.385;8.214;7.035;28.13;162.5;75.75;128.65;13-mar-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;LA DORADA;8559;4.863;4.662;7.249;29.272;25;52.5;99.6;3-sep-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;MANZANARES;1422;8.385;8.214;7.035;28.13;162.5;75.75;128.65;13-mar-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;MANZANARES;8559;4.863;4.662;7.249;29.272;25;52.5;99.6;3-sep-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;MARMATO;1422;8.385;8.214;7.035;28.13;162.5;75.75;128.65;13-mar-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;MARMATO;8559;4.863;4.662;7.249;29.272;25;52.5;99.6;3-sep-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;MARQUETALIA;1422;8.385;8.214;7.035;28.13;162.5;75.75;128.65;13-mar-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;MARQUETALIA;8559;4.863;4.662;7.249;29.272;25;52.5;99.6;3-sep-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;MARULANDA;1422;8.385;8.214;7.035;28.13;162.5;75.75;128.65;13-mar-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;MARULANDA;8559;4.863;4.662;7.249;29.272;25;52.5;99.6;3-sep-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;NEIRA;1422;8.385;8.214;7.035;28.13;162.5;75.75;128.65;13-mar-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;NEIRA;8559;4.863;4.662;7.249;29.272;25;52.5;99.6;3-sep-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;PALESTINA;1422;8.385;8.214;7.035;28.13;162.5;75.75;128.65;13-mar-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;PALESTINA;8559;4.863;4.662;7.249;29.272;25;52.5;99.6;3-sep-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;RIOSUCIO;1422;8.385;8.214;7.035;28.13;162.5;75.75;128.65;13-mar-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;RIOSUCIO;8559;4.863;4.662;7.249;29.272;25;52.5;99.6;3-sep-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;RISARALDA;1422;8.385;8.214;7.035;28.13;162.5;75.75;128.65;13-mar-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;RISARALDA;8559;4.863;4.662;7.249;29.272;25;52.5;99.6;3-sep-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;SALAMINA;1422;8.385;8.214;7.035;28.13;162.5;75.75;128.65;13-mar-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;SALAMINA;8559;4.863;4.662;7.249;29.272;25;52.5;99.6;3-sep-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;SAMANA;1422;8.385;8.214;7.035;28.13;162.5;75.75;128.65;13-mar-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;SAMANA;8559;4.863;4.662;7.249;29.272;25;52.5;99.6;3-sep-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;SAN JOSÉ;1422;8.385;8.214;7.035;28.13;162.5;75.75;128.65;13-mar-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;SAN JOSÉ;8559;4.863;4.662;7.249;29.272;25;52.5;99.6;3-sep-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;SUPIA;1422;8.385;8.214;7.035;28.13;162.5;75.75;128.65;13-mar-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;SUPIA;8559;4.863;4.662;7.249;29.272;25;52.5;99.6;3-sep-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;VICTORIA;1422;8.385;8.214;7.035;28.13;162.5;75.75;128.65;13-mar-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;VICTORIA;8559;4.863;4.662;7.249;29.272;25;52.5;99.6;3-sep-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;VITERBO;1422;8.385;8.214;7.035;28.13;162.5;75.75;128.65;13-mar-25;;
EMPRESA DE OBRAS SANITARIAS DE CALDAS  S. A. EMPRESA DE SERVICIOS PUBLICOS;CALDAS;VITERBO;8559;4.863;4.662;7.249;29.272;25;52.5;99.6;3-sep-25;;
EMPRESA DE SERVICIOS DE NOBSA S.A. E.S.P;BOYACA;NOBSA;4245;2;1.5;0;0;0;0;0;24-nov-25;;
EMPRESA DE SERVICIOS PUBLICOS DE ANDES S.A E.S.P;ANTIOQUIA;ANDES;8039;27.275;27.275;7.364;21.788;75;65.965;117.025;15-may-25;;
EMPRESA DE SERVICIOS PUBLICOS DE CAJICA S.A.  E.S.P.;CUNDINAMARCA;CAJICA;4389;38.862;1.791;6.653;16.95;100.25;148;295;21-feb-25;;
EMPRESA DE SERVICIOS PUBLICOS DE CAJICA S.A.  E.S.P.;CUNDINAMARCA;CAJICA;4390;66.434;19.949;7.26;16.32;140.25;153;278.5;21-feb-25;;
EMPRESA DE SERVICIOS PUBLICOS DE CHIA EMSERCHIA E.S.P.;CUNDINAMARCA;CHIA;5145;150.893;102.493;7.366;16.511;57.958;145.5;319.403;31-mar-25;;
EMPRESA DE SERVICIOS PUBLICOS DE FUSAGASUGA E.S.P;CUNDINAMARCA;FUSAGASUGA;8299;35.233;35.233;7.208;22.73;9;13;29;31-mar-25;;
EMPRESA DE SERVICIOS PUBLICOS DE LERIDA ;TOLIMA;LERIDA;1922;23.453;23.453;0;0;0;0;0;15-sep-25;;
